standard name,first detection,last detection,no. detns,expert extant?,chong common?
daemonorops lewisiana,1894,1894,1,,
daemonorops longipes,1889,1996,12,yes,
daemonorops micracantha,1900,1900,1,yes,
daemonorops periacantha,1890,1996,8,yes,
daemonorops sabut,1891,2012,5,yes,
dalbergia candenatensis,1880,2011,26,,yes
dalbergia havilandii,1894,1953,3,,
dalbergia hullettii,1885,1896,3,,
dalbergia junghuhnii,1885,2010,13,yes,
dalbergia parviflora,1939,2009,2,,
dalbergia rostrata,1822,2010,13,yes,yes
dalbergia velutina,1889,2010,6,yes,
dapania racemosa,1932,1953,2,yes,
daphniphyllum laurinum,1836,2005,10,,
davallia angustata,1822,1906,5,,
davallia denticulata,1842,2012,22,yes,yes
davallia heterophylla,1830,1944,15,,
davallia parvula,1813,1924,11,,
davallia pectinata,1822,1894,5,,
davallia repens,1822,1903,5,,
davallia solida,1858,2010,10,yes,
davallia triphylla,1894,1981,6,,
decaspermum fruticosum,1884,2013,25,yes,
dehaasia incrassata,1890,2009,5,yes,
dendrobium acerosum,1890,1911,4,,
dendrobium acutilingue,1891,1891,1,,
dendrobium aloifolium,1872,1949,10,yes,
dendrobium bancanum,1890,1899,3,,
dendrobium bifarium,1890,1891,2,,
dendrobium comatum,1889,1932,6,,
dendrobium crumenatum,1889,2017,12,yes,yes
dendrobium flexile,1893,1893,1,,
dendrobium fugax,1893,1893,1,,
dendrobium grande,1894,1894,1,,
dendrobium hendersonii,1959,1959,1,,
dendrobium indivisum,1827,1894,6,,
dendrobium indragiriense,1951,2002,2,,
dendrobium laciniosum,1891,1943,2,,
dendrobium lamellatum,1891,1913,3,,
dendrobium leonis,1889,1900,3,,
dendrobium lobatum,1889,1890,2,,
dendrobium lobbii,1889,2007,6,,
dendrobium microglaphys,1889,1894,3,,
dendrobium pachyphyllum,1889,2004,5,,
dendrobium pandaneti,1893,1919,3,,
dendrobium pensile,1889,1898,4,,
dendrobium planibulbe,1890,1897,3,,
dendrobium plicatile,1890,1900,4,,
dendrobium prostratum,1887,1932,5,,
dendrobium pulchellum,1890,1890,1,,
dendrobium revolutum,1900,1900,1,,
dendrobium salaccense,1892,1894,2,,
dendrobium secundum,1950,1950,1,,
dendrobium setifolium,1889,1889,1,,
dendrobium singaporense,1890,1892,2,,
dendrobium spurium,1889,1892,2,,
dendrobium stuposum,1889,1894,3,,
dendrobium subulatum,1890,1908,6,,
dendrobium villosulum,1889,1900,4,,
dendrobium xantholeucum,1890,1891,2,,
dendrochilum longifolium,1884,1892,3,,
dendrochilum pallidiflavens,1894,1894,1,,
dendrokingstonia nervosa,2010,2010,1,,
dendrolobium umbellatum,1822,2012,37,yes,yes
dendrophthoe pentandra,1884,2012,35,yes,yes
dendrotrophe buxifolia,1890,1894,3,,
dendrotrophe varians,1884,2007,16,,
deplanchea bancana,1889,2013,5,yes,
derris maingayana,1867,2013,17,yes,
derris scandens,1898,2011,10,,
derris trifoliata,1885,2011,36,yes,yes
desmos dasymaschalus,1822,2012,32,yes,
desmos dumosus,1894,2009,10,,
desmos dunalii,2007,2007,1,,
dialium indum,1894,2010,6,,
dialium platysepalum,1822,2010,18,yes,
dianella ensifolia,1822,2013,17,yes,yes
dichapetalum sordidum,1822,2011,6,yes,
dicranopteris curranii,1954,2009,3,yes,yes
dicranopteris linearis,1838,2010,17,yes,yes
didymocarpus platypus,1885,2012,13,yes,
didymoplexiella ornata,1908,1908,1,,
didymoplexis pallens,1889,1902,3,yes,
dienia ophrydis,1889,2011,9,,
digitaria bicornis,1890,2004,5,,yes
digitaria fuscescens,1890,2004,8,,yes
digitaria longiflora,1884,2003,3,,yes
digitaria mollicoma,1890,2003,9,,yes
dillenia excelsa,1890,2009,15,yes,
dillenia grandifolia,1937,2008,9,yes,
dillenia indica,1888,1993,5,,
dillenia pulchella,1890,1996,7,,
dillenia suffruticosa,1889,2017,33,yes,yes
dilochia wallichii,1822,1822,1,,
dimeria ornithopoda,1889,2004,7,,yes
dioscorea glabra,1823,2009,4,yes,
dioscorea hispida,1892,1949,5,,
