standard name,Solow p-value
combretum sundaicum,0.5858216415018455
combretum tetralophum,0.05112807329480267
commelina attenuata,7.309390535495706e-05
commersonia bartramia,0.014503144705390414
connarus ferrugineus,0.7481750620978913
connarus grandis,0.7921873690663455
connarus monocarpus subsp. malayensis,0.057926253425296455
connarus planchonianus,0.01368238731615682
connarus semidecandrus,0.65156993919144
coptosapelta flavescens,0.8777854572269581
coptosapelta griffithii,0.9579480379784501
cordia dichotoma,0.9038769921489022
cordiglottis filiformis,0.06427705295266037
corymborkis veratrifolia,0.0013994117027124077
coscinium fenestratum,0.733282359794529
cotylelobium lanceolatum,0.5840290648044835
cratoxylum arborescens,0.6557943323820244
cratoxylum cochinchinense,0.8290810995847767
cratoxylum formosum,1
cratoxylum maingayi,0.33422942406972034
crepidium micranthum,0.0666335113077292
crepidomanes christii,0.041943127792195445
crepidomanes humile,0.0029807507884565838
crepidomanes minutum,0.5329668505407751
crinum asiaticum,1
croton argyratus,0.00397264425126472
croton caudatus,0.7947880989293267
croton heterocarpus,0.11484352782203736
croton oblongus,0.9459837612139549
crypteronia griffithii,0.27109284874990136
cryptocarya ferrea,0.8401954459328347
cryptocarya griffithiana,0.4760927795895227
cryptocarya impressa,0.17663305634340873
cryptocarya nitens,0.4155783887534855
cryptocarya rugulosa,0.7025981801959607
cryptocoryne ciliata,0.4395787950074831
cryptocoryne griffithii,0.9810926349118545
cryptostylis arachnites,0.015211802449720266
ctenolophon parvifolius,0.7895028021784619
ctenopterella blechnoides,0.005069794422648255
cyathea glabra,0.008086436881373454
cyathea latebrosa,0.5044227363757872
cyathea squamulata,0.5370691190213428
cyathocalyx ramuliflorus,0.22310454851064984
cyathocalyx ridleyi,0.37388784941432157
cyathocalyx sumatranus,0.6439593416929181
cyathostemma viridiflorum,0.8217989115941259
cyathula prostrata,0.8511480895264029
cycas edentata,0.5767898442006337
cyclea laxiflora,0.708437227929696
cyclosorus interruptus,0.6145556067777038
cymbidium bicolor subsp. pubescens,0.008674020962761016
cymbidium finlaysonianum,0.9277667542698838
cymodocea rotundata,0.9838490894961384
cymodocea serrulata,0.9848226387052201
cynanchum ovalifolium,0.350537793891777
cynodon dactylon,0.7035820693676116
cynometra ramiflora,0.4987934610640817
cyperus compactus,0.5750589598673045
cyperus digitatus,0.8243403331804251
cyperus dubius,0.020291585080922193
cyperus javanicus,0.9896421639827051
cyperus malaccensis,0.04700865269949147
cyperus procerus,0.04261327926174321
cyperus radians,0.0032997334890571203
cyperus stoloniferus,0.977693539791678
cyperus tenuiculmis,0.0666335113077292
cyrtandra pendula,0.9300374313619031
cyrtococcum patens var. latifolium,0.3854421722188978
cyrtosperma merkusii,0.5072654055815518
cyrtostachys renda,1
cystorchis variegata,0.6636321237225693
dacryodes costata,0.85074662124339
dacryodes laxa,0.12105538537860652
dacryodes longifolia,0.26021083976998755
dacryodes rostrata,0.45332735462467943
dacryodes rugosa,0.7779372098494673
dactyloctenium aegyptium,0.9512480732214948
daemonorops angustifolia,0.045294344343351375
daemonorops didymophylla,0.03211556231092094
daemonorops geniculata,0.6074829128763123
daemonorops grandis,0.8290810995847767
daemonorops hirsuta,0.1929770221043902
daemonorops kunstleri,0.025945081663386823
daemonorops leptopus,0.0002667683473070812
daemonorops longipes,0.025584683081866316
daemonorops periacantha,0.09009503769665456
daemonorops sabut,0.9490100605782336
dalbergia candenatensis,0.46846021481420047
dalbergia havilandii,0.06358407396473377
dalbergia hullettii,0.026153920313186543
dalbergia junghuhnii,0.5181157666039415
dalbergia parviflora,0.8890743170738886
dalbergia rostrata,0.5370691190213428
dalbergia velutina,0.753200920291453
dapania racemosa,0.12466614877212315
daphniphyllum laurinum,0.37917962064853034
davallia angustata,0.004044847077487194
davallia denticulata,0.8012247823726112
davallia heterophylla,3.458101009887189e-05
davallia parvula,1.698945184727585e-05
davallia pectinata,0.037670229717079604
davallia repens,0.003541995610571688
davallia solida,0.6470157162760103
davallia triphylla,0.03690347271207616
decaspermum fruticosum,0.9621185804756571
dehaasia incrassata,0.7138105269565218
dendrobium acerosum,0.005335693988806691
dendrobium aloifolium,0.00011417688961852377
dendrobium bancanum,0.018553370630609762
dendrobium bifarium,0.019225359428692492
dendrobium comatum,0.003807033000040905
dendrobium crumenatum,1
dendrobium indivisum,0.0002754192978258656
dendrobium indragiriense,0.6971407970663179
dendrobium laciniosum,0.26871068814193305
dendrobium lamellatum,0.026114856711554824
dendrobium leonis,0.0666335113077292
dendrobium lobatum,0.025945081663386823
dendrobium lobbii,0.5928004515751815
dendrobium microglaphys,0.014463240223811596
dendrobium pachyphyllum,0.6003156231143645
dendrobium pandaneti,0.01913497514860494
dendrobium pensile,0.0033509420376189253
dendrobium planibulbe,0.01402929187945738
dendrobium plicatile,0.0030283815117124607
dendrobium prostratum,0.005229713518651284
dendrobium salaccense,0.05745835275315593
dendrobium singaporense,0.04177221312513438
dendrobium spurium,0.0666335113077292
dendrobium stuposum,0.014463240223811596
dendrobium subulatum,0.00013685311522800865
dendrobium villosulum,0.001995555203336776
dendrobium xantholeucum,0.019225359428692492
dendrochilum longifolium,0.04177221312513438
dendrolobium umbellatum,0.6777340976634151
dendrophthoe pentandra,0.664802681371242
dendrotrophe buxifolia,0.009376127007359104
dendrotrophe varians,0.1827901161709351
deplanchea bancana,0.9930828002489848
derris maingayana,0.9744737105728365
derris scandens,0.7285698976441785
derris trifoliata,0.3317240464321904
desmos dasymaschalus,0.725892642378765
desmos dumosus,0.43006687059805515
dialium indum,0.7236501778569371
dialium platysepalum,0.43655628202835023
dianella ensifolia,0.9764384514514044
dichapetalum sordidum,0.8577009910052715
dicranopteris curranii,0.7732210436290844
dicranopteris linearis,0.4328689086585892
didymocarpus platypus,0.8754891832618793
didymoplexis pallens,0.029570583593918294
dienia ophrydis,0.790634688891776
digitaria bicornis,0.49648379471772736
digitaria fuscescens,0.29365262396407893
digitaria longiflora,0.6950990940117572
digitaria mollicoma,0.20925498829953862
dillenia excelsa,0.3072842632351352
dillenia grandifolia,0.29149115817778315
dillenia indica,0.256838840792892
dillenia pulchella,0.12706598818205386
dillenia suffruticosa,1
dimeria ornithopoda,0.36037884735518766
dioscorea glabra,0.8052601038532397
dioscorea hispida,0.005338730912766281
dioscorea laurifolia,0.9649958912069188
dioscorea orbiculata var. tenuifolia,0.8533283234132479
dioscorea polyclados,0.6275608277082583
dioscorea prainiana,0.51327861664576
dioscorea pyrifolia,0.04535700138795416
diospyros argentea,0.2013767982489222
diospyros buxifolia,0.5120019672877224
diospyros confusa,0.8048730727922716
diospyros coriacea,0.8786410089021683
diospyros diepenhorstii,0.006526331473318266
diospyros lanceifolia,0.9531983442169935
diospyros maingayi,0.621683376322645
diospyros oblonga,0.27151252783177215
diospyros styraciformis,0.5041074249116118
diospyros sumatrana,0.5692732456069477
diospyros venosa,0.7001271848165351
diplazium cordifolium,0.1680416661375769
diplazium crenato-serratum,0.40022405719244547
diplazium esculentum,0.04941176400459545
diplazium kunstleri,0.5045478326150653
diplazium malaccense,0.5829433974996222
diplazium prescottianum,0.6381664617295184
diplazium sorzogonense,4.733972551085433e-05
diplazium tomentosum,0.0341556998094274
diplectria divaricata,0.9872511588244324
diplectria stipularis,0.28155974312614934
diplectria viminalis,0.37265191746919246
diplospora malaccensis,0.836118328362273
dipodium paludosum,0.029943257547226067
dipteris conjugata,0.6536258690974125
dipterocarpus caudatus subsp. penangianus,0.49086614627438163
dipterocarpus chartaceus,0.7746594019950916
dipterocarpus cornutus,0.6877727747287603
dipterocarpus elongatus,0.5323035553753402
dipterocarpus grandiflorus,0.3973802004691173
dipterocarpus kerrii,0.20638773717685946
dipterocarpus kunstleri,0.40625535219378506
dipterocarpus sublamellatus,0.5920560256828103
dipterocarpus tempehes,0.19297294518873057
dischidia albiflora,0.04601754375956553
dischidia bengalensis,0.0761242936976234
dischidia cochleata,0.0031304412986451697
dischidia hirsuta,0.9913609894747775
dischidia major,0.5089533909412554
dischidia nummularia,0.7496213547237444
dissochaeta annulata,0.8455233738591565
dissochaeta celebica,0.9832627457138279
dissochaeta gracilis,0.5692732456069477
dissochaeta pallida,0.8683687257399215
dissochaeta punctulata,0.6094550599287862
dolichandrone spathacea,0.5127410043642315
donax canniformis,0.5929445341879207
dracaena brachystachys,0.9607750609176225
